Date,Price
2010-01-04,0.4238835871219635
2010-01-05,0.43007341027259827
2010-01-06,0.43282440304756165
2010-01-07,0.4243420362472534
2010-01-08,0.4252591133117676
2010-01-11,0.4192987084388733
2010-01-12,0.40508511662483215
2010-01-13,0.4105871617794037
2010-01-14,0.40416815876960754
2010-01-15,0.3922470808029175
2010-01-19,0.3995831310749054
2010-01-20,0.39797845482826233
2010-01-21,0.39087167382240295
2010-01-22,0.37734586000442505
2010-01-25,0.3837648928165436
2010-01-26,0.371614545583725
2010-01-27,0.38170161843299866
2010-01-28,0.3688635528087616
2010-01-29,0.3528161346912384
2010-02-01,0.3798675835132599
2010-02-02,0.3837648928165436
2010-02-03,0.3869743347167969
2010-02-04,0.36450785398483276
2010-02-05,0.37184402346611023
2010-02-08,0.3711560070514679
2010-02-09,0.3681757152080536
2010-02-10,0.3752826154232025
2010-02-11,0.3924763798713684
2010-02-12,0.3977491557598114
2010-02-16,0.40508511662483215
2010-02-17,0.4089823365211487
2010-02-18,0.3821600079536438
2010-02-19,0.38009679317474365
2010-02-22,0.3807845711708069
2010-02-23,0.371614545583725
2010-02-24,0.37940916419029236
2010-02-25,0.3759702742099762
2010-02-26,0.3713853359222412
2010-03-01,0.38628655672073364
2010-03-02,0.3860573172569275
2010-03-03,0.38124316930770874
2010-03-04,0.3819308578968048
2010-03-05,0.39362257719039917
2010-03-08,0.38789141178131104
2010-03-09,0.40233415365219116
2010-03-10,0.4032510221004486
2010-03-11,0.39408111572265625
2010-03-12,0.3954566717147827
2010-03-15,0.3933933973312378
2010-03-16,0.40714842081069946
2010-03-17,0.4149429202079773
2010-03-18,0.40027087926864624
2010-03-19,0.3954566717147827
2010-03-22,0.4018756151199341
2010-03-23,0.41012853384017944
2010-03-24,0.3963736891746521
2010-03-25,0.3975198566913605
2010-03-26,0.3975198566913605
2010-03-29,0.4025634229183197
2010-03-30,0.40416815876960754
2010-03-31,0.3988955020904541
2010-04-01,0.3947688639163971
2010-04-05,0.40072932839393616
2010-04-06,0.39087167382240295
2010-04-07,0.3933933973312378
2010-04-08,0.3869743347167969
2010-04-09,0.3894960582256317
2010-04-12,0.39660295844078064
2010-04-13,0.4048558473587036
2010-04-14,0.40989941358566284
2010-04-15,0.4128796458244324
2010-04-16,0.3911009132862091
2010-04-19,0.3892669677734375
2010-04-20,0.39064228534698486
2010-04-21,0.38055527210235596
2010-04-22,0.3821600079536438
2010-04-23,0.37688735127449036
2010-04-26,0.38055527210235596
2010-04-27,0.3697807192802429
2010-04-28,0.3704683780670166
2010-04-29,0.38170161843299866
